usage:
a--b--f
(sum)--(product)--(number (resault) )

20 216 983
17 144 386
19 245 577
8 10 215
15 81 393
17 135 935
20 288 686
13 36 292
16 108 349
11 16 821
15 84 762
14 70 527
15 0 690
17 135 359
15 108 663
14 72 626
7 0 340
10 24 226
17 112 872
11 36 236
9 7 711
18 192 468
16 126 367
16 90 529
18 128 882
9 0 630
9 12 162
14 54 923
20 294 767
11 45 335
15 72 429
10 0 802
10 24 622
22 360 958
24 486 969
22 378 967
20 216 893
17 180 656
5 3 311
8 16 242
16 90 529
19 189 973
10 14 721
12 18 219
15 96 384
14 84 437
24 504 798
12 48 624
12 30 615
13 0 670
12 24 813
11 36 326
11 9 191
9 0 180
18 210 756
19 189 973
15 84 762
15 0 870
23 432 896
14 40 581
7 0 205
10 30 325
15 96 384
16 98 727
12 54 336
9 0 405
17 168 746
13 36 229
5 3 113
21 315 957
10 32 424
19 225 595
19 144 982
10 20 145
12 28 714
16 126 367
12 60 534
15 120 564
16 108 943
6 0 150
17 112 287
16 0 808
16 126 376
18 168 378
24 512 888
13 32 184
7 0 403
12 30 651
18 180 954
20 162 299
7 12 232
7 0 160
18 210 576
19 240 568
20 216 839
11 16 812
17 108 926
19 240 586
22 324 994
21 243 939
